Score0,Score1,Score2,Score3,Score4,Score5,Score6,Score7,Score8,Score9,Score10,Score11,Score12,Score13,Score14,Score15,SpendTime
0.1892,1.0000,0.0717,0.1964,0.2722,0.2008,0.2110,0.3375,0.0000,0.1793,0.4977,0.3528,0.2128,0.0176,0.5292,0.3147,6.8327
0.2319,1.0000,0.0000,0.1655,0.2813,0.2246,0.0726,0.2093,0.1009,0.0760,0.4852,0.5699,0.1099,0.2522,0.6098,0.3821,6.8195
0.2263,1.0000,0.0667,0.1220,0.2361,0.3327,0.1359,0.3143,0.0000,0.1529,0.3831,0.4340,0.2319,0.2770,0.5653,0.4501,6.8865
0.3632,1.0000,0.2357,0.4328,0.2896,0.1605,0.2124,0.1542,0.0258,0.0000,0.6876,0.6029,0.1377,0.0109,0.6775,0.3636,6.8146
0.1766,1.0000,0.1150,0.2451,0.2465,0.1446,0.1790,0.2384,0.0055,0.0000,0.5817,0.4640,0.1596,0.0450,0.5268,0.2716,6.8193
0.5795,0.3886,1.0000,0.8066,0.1813,0.3559,0.4569,0.1038,0.3140,0.4249,0.3428,0.4701,0.0000,0.1249,0.3665,0.2122,6.8599
0.6425,0.4473,1.0000,0.8502,0.2057,0.3826,0.5984,0.2099,0.3059,0.4398,0.4178,0.5437,0.0000,0.1891,0.4710,0.2584,6.8367
0.6138,0.4244,1.0000,0.8425,0.1466,0.4171,0.5159,0.1682,0.2984,0.4224,0.4023,0.5043,0.0000,0.1426,0.4109,0.1643,6.9023
0.8186,0.5844,0.9840,1.0000,0.1949,0.3709,0.8116,0.2027,0.2655,0.3492,0.5489,0.6389,0.0000,0.2154,0.5943,0.3121,6.8338
0.5485,0.3533,1.0000,0.7698,0.1834,0.3610,0.4769,0.1527,0.3362,0.4255,0.3589,0.4166,0.0000,0.1624,0.3808,0.1962,6.8773
0.5689,0.3566,0.6700,1.0000,0.0000,0.3049,0.5019,0.2180,0.4417,0.4871,0.3095,0.3649,0.0352,0.1972,0.3818,0.2146,6.7945
0.4713,0.3392,0.5295,1.0000,0.0000,0.3046,0.5424,0.2571,0.4548,0.5190,0.2702,0.2969,0.0495,0.1566,0.3657,0.1753,6.8622
0.7211,0.5095,0.7184,1.0000,0.0000,0.4270,0.6256,0.3792,0.5479,0.4692,0.2974,0.4856,0.0985,0.2134,0.4827,0.2525,6.8072
0.6053,0.5311,0.7164,1.0000,0.0000,0.3334,0.6695,0.3408,0.4767,0.5320,0.3790,0.4730,0.0965,0.1778,0.4457,0.2427,6.8040
0.3909,0.3313,0.6333,1.0000,0.0198,0.3030,0.5628,0.2880,0.3888,0.5317,0.2879,0.3329,0.0000,0.1670,0.3670,0.1418,6.8196
0.1014,0.4642,0.2204,0.1186,1.0000,0.0000,0.3381,0.2974,0.2139,0.4341,0.9722,0.3235,0.3355,0.4722,0.4530,0.2888,6.7926
0.1532,0.4389,0.0931,0.0000,1.0000,0.1939,0.0209,0.2201,0.0648,0.0990,0.3708,0.4276,0.4585,0.2315,0.3611,0.5286,6.9113
0.1544,0.4846,0.1925,0.0916,1.0000,0.0000,0.2404,0.2995,0.2933,0.3419,0.7038,0.4075,0.4205,0.3778,0.4698,0.4090,6.7834
0.0413,0.3858,0.0849,0.0000,1.0000,0.0723,0.0284,0.1687,0.0024,0.0282,0.4531,0.3371,0.2715,0.1775,0.2957,0.4018,6.8075
0.0806,0.4512,0.1806,0.1057,1.0000,0.0000,0.1872,0.3013,0.2491,0.2877,0.6563,0.3699,0.4319,0.3505,0.4666,0.4200,6.7987
0.4733,0.5278,0.3127,0.3520,0.1806,1.0000,0.3424,0.5426,0.3749,0.4759,0.0000,0.6029,0.4434,0.3651,0.6992,0.5915,7.1652
0.4970,0.4761,0.2901,0.3648,0.1111,1.0000,0.3213,0.4673,0.3400,0.4463,0.0000,0.5388,0.3855,0.2854,0.6183,0.5282,6.9045
0.5645,0.3928,0.0950,0.3361,0.0792,1.0000,0.2789,0.4963,0.2156,0.3210,0.0000,0.4145,0.3060,0.1857,0.5657,0.5670,6.8030
0.6254,0.4330,0.3047,0.4992,0.1229,1.0000,0.4305,0.5376,0.3639,0.4233,0.0000,0.4717,0.2668,0.2895,0.5765,0.4861,6.7749
0.5952,0.4632,0.3115,0.4711,0.0659,1.0000,0.4012,0.4574,0.1921,0.4053,0.0000,0.3913,0.2630,0.1143,0.4879,0.4348,6.7857
0.2180,0.3406,0.2846,0.6509,0.2235,0.2663,1.0000,0.5364,0.0000,0.3755,0.6076,0.1733,0.0962,0.4119,0.4514,0.1393,6.8638
0.1886,0.3199,0.2617,0.5212,0.2480,0.2577,1.0000,0.5404,0.0000,0.3310,0.5783,0.2133,0.1341,0.4348,0.4458,0.1330,6.7988
0.3877,0.3136,0.3142,0.6452,0.1638,0.2384,1.0000,0.6008,0.0000,0.4001,0.5578,0.2215,0.0634,0.3290,0.3762,0.0771,6.8090
0.4348,0.3837,0.3206,0.6982,0.1655,0.3172,1.0000,0.6368,0.0000,0.4189,0.5250,0.2247,0.0793,0.2869,0.4245,0.1643,6.7927
0.4532,0.3522,0.3158,0.6546,0.1592,0.2223,1.0000,0.6431,0.0000,0.3933,0.4841,0.3048,0.0945,0.3038,0.3937,0.0799,6.8836
0.5032,0.4527,0.1505,0.3770,0.4972,0.6432,0.7198,1.0000,0.0000,0.4638,0.5154,0.5045,0.6428,0.5473,0.7341,0.5990,6.7974
0.5114,0.5376,0.1606,0.4508,0.5900,0.6878,0.6577,1.0000,0.0000,0.5042,0.5924,0.3638,0.6481,0.4054,0.6110,0.5189,6.8533
0.5318,0.5329,0.1697,0.4356,0.4913,0.7326,0.5931,1.0000,0.0000,0.4260,0.4785,0.4175,0.6598,0.3789,0.6295,0.6070,6.8163
0.4602,0.4704,0.1759,0.4094,0.5152,0.5875,0.6770,1.0000,0.0000,0.4373,0.5004,0.3659,0.6934,0.4988,0.6057,0.4732,6.9357
0.6795,0.4552,0.2055,0.4469,0.3212,0.4923,0.6287,1.0000,0.0000,0.3538,0.3596,0.4214,0.6349,0.5974,0.6436,0.4676,6.8443
0.7296,0.4635,0.6059,0.8364,0.4578,0.4838,0.2661,0.0000,1.0000,0.1318,0.4985,0.7534,0.3487,0.1834,0.5590,0.6375,7.4249
0.6291,0.3298,0.4988,0.5534,0.3700,0.4802,0.1693,0.0000,1.0000,0.0380,0.4204,0.5902,0.4458,0.1755,0.5236,0.5623,6.8182
0.4803,0.5944,0.3452,0.6322,0.5426,0.8232,0.1555,0.0000,1.0000,0.1410,0.4772,0.8137,0.5961,0.2775,0.7362,0.8273,6.7858
